hit_cnt,sip_cnt,dip,dport,proto,inif,outif,src_ip
67,2,2551672010,443,6,proxy8,proxy9,1124182208;660973760
67,1,1087357306,80,6,proxy8,proxy9,1124182208
67,1,1708754749,80,6,proxy8,proxy9,553756864
66,1,1946688615,80,6,proxy8,proxy9,637642944
63,1,276069755,0,1,proxy8,proxy9,1124182208
62,1,3311959419,0,1,proxy8,proxy9,1124182208
61,2,1814127028,443,6,proxy8,proxy9,660973760;654420160
56,6,1804491376,8000,17,proxy8,proxy9,1124182208;1073850560;671197376;620865728;520202432;335653056
56,3,427986102,80,6,proxy8,proxy9,660973760;654420160;536979648
56,1,869253498,80,6,proxy8,proxy9,1124182208
56,1,886030714,80,6,proxy8,proxy9,1124182208
56,1,1573709021,80,6,proxy8,proxy9,1124182208
56,1,3644437980,0,1,proxy8,proxy9,1124182208
56,1,2524151163,0,1,proxy8,proxy9,1124182208
55,1,1686282195,80,6,proxy8,proxy9,1124182208
54,2,745678007,80,6,proxy8,proxy9,660973760;654420160
54,1,1111084655,53,17,proxy8,proxy9,1191291072
54,1,1890759645,0,1,proxy8,proxy9,1124182208
53,1,3496283503,0,1,proxy8,proxy9,1124182208
52,1,327456180,0,1,proxy8,proxy9,1124182208
51,1,341489116,0,1,proxy8,proxy9,1124182208
50,11,67309740,5222,6,proxy8,proxy9,1191291072;1124182208;1073850560;671197376;660973760;654420160;637642944;620865728;570534080;536979648;335653056
49,3,1797349812,443,6,proxy8,proxy9,687974592;660973760;654420160
49,1,533709178,80,6,proxy8,proxy9,1124182208
49,1,611105911,8000,17,proxy8,proxy9,520202432
49,1,2374407604,0,1,proxy8,proxy9,1124182208
48,1,1055351242,80,6,proxy8,proxy9,553756864
48,1,399491450,80,6,proxy8,proxy9,1124182208
47,1,2518703224,80,6,proxy8,proxy9,1124182208
47,1,2423422331,0,1,proxy8,proxy9,1124182208
46,2,3036916358,2492,6,proxy8,proxy9,660973760;536979648
46,1,1317310675,80,6,proxy8,proxy9,660973760
46,1,3759255348,443,6,proxy8,proxy9,687974592
46,1,2391184820,0,1,proxy8,proxy9,1124182208
42,1,1525583030,80,6,proxy8,proxy9,660973760
42,1,528717236,0,1,proxy8,proxy9,1124182208
41,1,4246756472,80,6,proxy8,proxy9,1124182208
41,1,3370706368,443,6,proxy8,proxy9,687974592
