hit_cnt,sip_cnt,dip_cnt,dip,dport,proto,inif,outif,src_ip
106,1,16,1002116469;453792887;849782751;612152796;981114173;4276522166;2955629620;3366916456;1366214501;3873350580;3757810612;2834211764;1437104234;2800657332;610737882;2230231988,80,6,proxy8;,proxy9;,687974592
101,1,17,1723722048;1712815434;590401739;907304056;370054838;1784372344;297694332;2407827382;2409403828;3200022634;353277622;336415357;2919674998;403524221;3640036534;2392626612;467236208,80,6,proxy8;,proxy9;,536979648
98,11,1,67309740,8901,6,proxy8;,proxy9;,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;570534080;536979648;335653056
93,2,3,2097936954;1863466167;93280880,8000,17,proxy8;,proxy9;,671197376;520202432
86,2,3,2551672010;832622181;1368895907,443,6,proxy8;,proxy9;,1124182208;660973760
80,2,11,3219495348;594462565;1851976746;946282202;2090036772;3286604212;2090301546;3581288154;3321602996;3216799850;1537193436,80,6,proxy8;,proxy9;,704751808;687974592
78,1,10,3842075761;815844965;2214186853;3456302448;3390966634;824889201;580963941;149343628;395396453;3651325541,443,6,proxy8;,proxy9;,1124182208
77,1,1,738865674,63424,17,proxy8;,proxy9;,620865728
70,1,12,1698287215;1111084655;1034332127;1263455884;3560558191;3960925226;609144460;592367244;3123302603;797765693;933668831;2812241875,80,6,proxy8;,proxy9;,1191291072
68,6,3,644270703;593939055;1832091259,80,6,proxy8;,proxy9;,1191291072;1124182208;1073850560;620865728;553756864;520202432
66,1,1,1946688615,80,6,proxy8;,proxy9;,637642944
63,6,3,2152397348;2202728996;2185951780,80,6,proxy8;,proxy9;,1191291072;671197376;660973760;654420160;620865728;335653056
63,1,5,244311233;2665008763;412083393;1788467261;1532041336,123,17,proxy8;,proxy9;,2634131648
56,6,1,1804491376,8000,17,proxy8;,proxy9;,1124182208;1073850560;671197376;620865728;520202432;335653056
52,2,7,721421947;2976883055;2991042979;2337102448;373280367;654128701;377416746,80,6,proxy8;,proxy9;,671197376;520202432
50,11,1,67309740,5222,6,proxy8;,proxy9;,1191291072;1124182208;1073850560;671197376;660973760;654420160;637642944;620865728;570534080;536979648;335653056
50,2,8,625921676;430352351;792907375;3109191035;396797919;380020703;3493449327;413575135,80,6,proxy8;,proxy9;,1191291072;520202432
49,1,9,249220492;304336268;1000777695;673829067;1197643330;1042468236;17173354;2200490187;1680593099,443,6,proxy8;,proxy9;,520202432
46,2,1,3036916358,2492,6,proxy8;,proxy9;,660973760;536979648
40,1,14,491703948;2780872705;3449938533;3718609002;46457978;2764095489;2261473405;3351298049;4025880185;2213454772;728178394;853235837;651521572;2280367028,80,6,proxy8;,proxy9;,704751808
39,5,1,3636299581,80,6,proxy8;,proxy9;,1191291072;1124182208;620865728;553756864;520202432
39,4,2,1451064699;946129519,80,6,proxy8;,proxy9;,1191291072;1124182208;620865728;553756864
39,2,3,3160519020;3166497088;3166562624,5228,6,proxy8;,proxy9;,660973760;654420160
39,1,7,1260440972;1110167755;2113740480;3748406455;3861369035;3362014518;3827814603,443,6,proxy8;,proxy9;,536979648
38,4,2,2114714170;2341362288,8000,17,proxy8;,proxy9;,704751808;671197376;620865728;335653056
36,6,3,25929920;18720960;691281674,2492,6,proxy8;,proxy9;,1191291072;671197376;660973760;654420160;553756864;536979648
36,2,2,2062827323;814976182,80,6,proxy8;,proxy9;,654420160;536979648
35,1,1,1759311996,27587,6,proxy8;,proxy9;,553756864
34,5,1,1569323578,443,6,proxy8;,proxy9;,1124182208;671197376;620865728;520202432;335653056
33,3,1,2502611147,80,6,proxy8;,proxy9;,620865728;536979648;335653056
33,1,11,3944780663;358939821;1252055468;1788926380;1829880610;2114276968;2392303327;3081968180;3240612043;961895544;3324498123,443,6,proxy8;,proxy9;,671197376
32,1,3,975562611;745746493;980627517,80,6,proxy8;,proxy9;,620865728
32,1,1,3910584385,80,6,proxy8;,proxy9;,2181146816
31,5,1,2135620132,80,6,proxy8;,proxy9;,1191291072;671197376;654420160;620865728;335653056
31,3,1,1157552555,80,6,proxy8;,proxy9;,687974592;660973760;654420160
31,1,1,3691711243,2492,6,proxy8;,proxy9;,687974592
29,3,1,3863008222,80,6,proxy8;,proxy9;,660973760;654420160;570534080
28,3,1,690606283,80,6,proxy8;,proxy9;,660973760;620865728;553756864
27,3,1,40282304,2492,6,proxy8;,proxy9;,660973760;660842688;654420160
27,1,1,2615562925,17972,6,proxy8;,proxy9;,687974592
27,1,2,1161416303;2302266991,53,17,proxy8;,proxy9;,637642944
26,3,2,87213925;36882277,80,6,proxy8;,proxy9;,1191291072;671197376;553756864
26,2,5,2358139504;218888762;3935885070;2577061646;4002993934,8000,17,proxy8;,proxy9;,671197376;620865728
25,1,1,1242250794,5566,17,proxy8;,proxy9;,620865728
25,1,10,1663392551;801312733;926557211;2524586109;4019771150;353004657;440761822;2166634166;790553969;3833403769,8000,17,proxy8;,proxy9;,620865728
25,1,4,1254100288;351775557;2374407604;2723057371,443,6,proxy8;,proxy9;,654420160
24,2,1,1479266507,443,6,proxy8;,proxy9;,536979648;520202432
24,1,12,3577223169;211059380;3760262171;2316291173;3337310582;727210934;1212485085;1717779201;3949733915;3842144427;482616491;956096111,7700,17,proxy8;,proxy9;,620865728
23,4,2,3619522365;661047919,80,6,proxy8;,proxy9;,1124182208;1073850560;620865728;553756864
22,6,1,3087248006,80,6,proxy8;,proxy9;,687974592;671197376;660973760;654420160;553756864;520202432
22,2,1,1210696058,6643,6,proxy8;,proxy9;,660973760;654420160
22,2,3,1213124236;2716796535;3825384567,80,17,proxy8;,proxy9;,671197376;553756864
21,4,1,3879785438,80,6,proxy8;,proxy9;,660973760;655075500;654420160;570534080
20,2,1,1380736120,443,6,proxy8;,proxy9;,671197376;536979648
19,5,1,610716271,80,6,proxy8;,proxy9;,1191291072;1073850560;620865728;553756864;520202432
19,1,9,2028025130;1618701627;159348343;3725072385;330395764;2543397147;165892728;992364409;3063005552,7800,17,proxy8;,proxy9;,620865728
18,2,2,660973760;654420160,2492,6,proxy9;,proxy8;,3087248006;3053693574
18,1,4,553756864;671197376;520202432;687974592,2492,6,proxy9;,proxy8;,3087248006
18,1,6,670825226;704379658;688105664;688695488;694462656;688040128,2492,6,proxy8;,proxy9;,1191291072
17,4,2,1707900234;2345434442,80,6,proxy8;,proxy9;,1191291072;1124182208;671197376;660973760
17,1,1,45197504,53,17,proxy8;,proxy9;,654420160
16,2,1,66788874,7273,17,proxy8;,proxy9;,1193152684;1191291072
16,2,1,66788874,7274,17,proxy8;,proxy9;,1193152684;1191291072
16,2,1,66788874,7275,17,proxy8;,proxy9;,1193152684;1191291072
16,2,1,66788874,7276,17,proxy8;,proxy9;,1193152684;1191291072
16,2,1,66788874,7277,17,proxy8;,proxy9;,1193152684;1191291072
16,2,1,66788874,7278,17,proxy8;,proxy9;,1193152684;1191291072
16,2,1,66788874,7279,17,proxy8;,proxy9;,1193152684;1191291072
16,2,1,66788874,7280,17,proxy8;,proxy9;,1193152684;1191291072
16,2,1,66788874,7281,17,proxy8;,proxy9;,1193152684;1191291072
16,2,1,66788874,7282,17,proxy8;,proxy9;,1193152684;1191291072
15,5,1,1748205179,80,6,proxy8;,proxy9;,1191291072;1124182208;1073850560;620865728;553756864
15,4,1,3053693574,80,6,proxy8;,proxy9;,1191291072;660973760;654420160;520202432
15,4,1,1013238383,80,6,proxy8;,proxy9;,1124182208;620865728;553756864;520202432
15,3,1,3160519020,443,6,proxy8;,proxy9;,660973760;655075500;654420160
15,2,1,2938147703,8000,17,proxy8;,proxy9;,1073850560;335653056
15,1,1,381197117,12020,6,proxy8;,proxy9;,660973760
14,5,1,703997802,80,6,proxy8;,proxy9;,704751808;687974592;660973760;654420160;536979648
14,3,1,3986216718,8000,17,proxy8;,proxy9;,704751808;671197376;620865728
14,2,3,613641764;2442623082;847033820,80,6,proxy8;,proxy9;,687974592;536979648
14,1,2,2196677556;1659610036,443,6,proxy8;,proxy9;,704751808
14,1,2,727208040;2234044619,80,6,proxy8;,proxy9;,335653056
13,2,1,1051109343,443,6,proxy8;,proxy9;,704751808;553756864
13,1,1,16885952,53,17,proxy8;,local;,1124182208
12,4,1,1434287483,80,6,proxy8;,proxy9;,1191291072;1124182208;1073850560;553756864
12,4,1,2459400298,80,6,proxy8;,proxy9;,704751808;687974592;570534080;536979648
12,2,1,3104025222,80,6,proxy8;,proxy9;,660973760;570534080
12,1,1,1845587057,8000,17,proxy8;,proxy9;,1124182208
12,1,1,2954924919,8000,17,proxy8;,proxy9;,687974592
11,3,1,596864548,80,6,proxy8;,proxy9;,704751808;687974592;536979648
11,3,1,2073259556,80,6,proxy8;,proxy9;,704751808;570534080;536979648
11,2,1,1051109343,80,6,proxy8;,proxy9;,704751808;553756864
11,2,1,933668831,443,6,proxy8;,proxy9;,1191291072;520202432
11,1,4,690606283;1899808822;3358052555;1110692043,443,6,proxy8;,proxy9;,620865728
10,4,1,737552234,80,6,proxy8;,proxy9;,704751808;687974592;654420160;536979648
10,3,2,1379192431;2387770747,80,6,proxy8;,proxy9;,1191291072;553756864;520202432
10,1,4,1017554911;606654667;3993819564;1093390539,443,6,proxy8;,proxy9;,1191291072
10,1,3,2534620343;2971702135;3952662286,8000,17,proxy8;,proxy9;,671197376
9,3,1,1668204389,80,6,proxy8;,proxy9;,704751808;687974592;553756864
9,2,1,1525416857,80,6,proxy8;,proxy9;,671197376;660973760
8,4,1,732655140,80,6,proxy8;,proxy9;,704751808;660973760;654420160;536979648
8,2,1,33689772,21,6,proxy8;,proxy9;,660973760;654420160
8,2,2,1856035244;1319164332,443,6,proxy8;,proxy9;,671197376;660973760
8,2,2,2654878903;858494843,8000,17,proxy8;,proxy9;,704751808;687974592
8,2,2,2384189868;4005903064,443,6,proxy8;,proxy9;,671197376;654420160
8,1,4,17435146;25209024;23242944;573841162,2492,6,proxy8;,proxy9;,660973760
